quote_id,sqft_extracted,source,pattern
5325,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5357,500.0,job_description,"(\d[\d\s\.,]*)\s*pc"
5369,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5374,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5382,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5383,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5384,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5387,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5388,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5402,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5404,1330.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5423,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5434,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5460,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5461,500.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5470,1136.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5478,2100.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5482,1136.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5483,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5485,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5501,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5507,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5535,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5550,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5560,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5575,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5595,2100.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5597,2100.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5605,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5609,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5614,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5616,815.0,job_description,"(\d[\d\s\.,]*)\s*pi2"
5632,1762.0,job_description,"(\d[\d\s\.,]*)\s*p2"
5639,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5650,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5677,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5683,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5698,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5700,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5702,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5708,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5710,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5712,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5713,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5719,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5729,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5735,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5739,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5744,1000.0,job_description,"(\d[\d\s\.,]*)\s*sq\.?\s*ft\.?"
5748,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5749,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5752,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5754,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5755,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5761,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5762,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5778,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5781,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5788,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5798,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5799,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5800,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5804,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5807,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
5824,1000.0,job_description,"(\d[\d\s\.,]*)\s*pi²"
