quote_id,job_name,job_category,sqft_final,quoted_total,year
634,20FR Chantier bardeaux,Bardeaux,2521.0,9213.01,2021
635,20FR Chantier bardeaux,Bardeaux,3165.0,10889.26,2021
636,20FR Chantier bardeaux,Bardeaux,3550.0,14152.07,2021
637,20FR Chantier bardeaux,Bardeaux,3250.0,11634.24,2021
638,20FR Chantier bardeaux,Bardeaux,1241.0,4623.33,2021
639,20FR Chantier bardeaux,Bardeaux,1219.0,4552.75,2021
640,20FR Chantier bardeaux,Bardeaux,3431.0,11949.56,2021
641,5EN Extra Work,Other,100.0,2971.32,2021
654,20FR Chantier bardeaux,Bardeaux,1900.0,5620.24,2021
657,Instllation unique du puits de lumière sans la boîte ,Skylights,2400.0,739.0,2021
658,,Unknown,4014.0,31647.7,2021
661,20FR Chantier bardeaux,Bardeaux,150.0,2640.29,2021
662,40FR Chantier Elastomère,Other,850.0,18743.68,2021
663,20FR Chantier bardeaux,Bardeaux,150.0,2659.84,2021
664,20EN Shingle roof,Bardeaux,150.0,2349.28,2021
665,40FR Chantier Elastomère,Other,900.0,14919.46,2021
671,3b'FR Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,4200.0,2021
672,3b'FR Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,5000.0,2021
673,3b'FR Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,1500.0,2021
674,"26EN Shingle Decking Carpentry, Settlement Correction",Bardeaux,1350.0,27387.96,2021
676,40FR Chantier Elastomère,Other,1100.0,20617.08,2021
678,40FR Chantier Elastomère,Other,700.0,11495.7,2021
684,40FR Chantier Elastomère,Other,1400.0,14858.84,2021
688,40FR Chantier Elastomère,Other,850.0,14858.84,2021
689,40FR Chantier Elastomère,Other,1490.0,14858.84,2021
690,40FR Chantier Elastomère,Other,750.0,14858.84,2021
692,40FR Chantier Elastomère,Other,336.0,8057.26,2021
694,5EN Extra Work,Other,100.0,12951.49,2021
695,40FR Chantier Elastomère,Other,1485.0,11251.81,2021
696,40FR Chantier Elastomère,Other,1200.0,16813.81,2021
697,40FR Chantier Elastomère,Other,900.0,16841.35,2021
698,40EN Elastomer worksite,Other,900.0,16841.35,2021
699,40FR Chantier Elastomère,Other,700.0,10431.25,2021
700,40FR Chantier Elastomère,Other,700.0,8574.15,2021
701,40FR Chantier Elastomère,Other,850.0,3884.84,2021
704,40FR Chantier Elastomère,Other,1400.0,14858.84,2021
708,3b'FR Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,3000.0,2021
709,40 Chantier Elastomère,Other,700.0,14566.93,2021
710,20FR Chantier bardeaux,Bardeaux,4889.0,24571.28,2021
718,40FR Chantier Elastomère,Other,850.0,3884.84,2021
720,20 Chantier bardeaux,Bardeaux,1059.0,4588.7,2021
722,40 Chantier Elastomère,Other,1200.0,17256.11,2021
723,3b'FR Isolation Bardeau Laine Fibre De Verre,Bardeaux,138.0,8320.0,2021
